COU,POL,VAR,UNIT,POWERCODE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AUS,SOX,TOT,TONNE,3,1585.176,1569.958,1652.009,1742.286,1764.29,1673.394,1761.386,1817.474,1742.827,1832.244,2342.997,2585.631,2776.333,2776.272,2512.307,2520.124,2482.611,2444.737,2512.381,2597.932,2378.123,2507.024,2518.107,2414.193,2499.565,2384.729,2465.597,2287.739,2083.004,2197.911,2122.282,2221.654
AUS,SOX,MOB_TOT,TONNE,3,39.204,34.641,34.198,31.352,28.731,35.294,36.471,36.199,32.263,28.787,30.656,29.919,29.967,30.794,32.345,32.776,31.986,34.22,31.301,32.657,32.734,32.354,31.055,27.754,28.485,29.26,29.926,31.732,33.829,34.52,33.084,35.141
AUS,SOX,MOB_ROAD,TONNE,3,9.026,8.738,8.829,9.231,9.632,10.278,10.831,11.397,11.852,11.811,12.16,11.728,12.397,12.741,13.068,13.358,13.843,14.923,14.802,14.663,14.622,15.469,16.197,16.428,17.123,17.04,16.999,16.751,17.27,17.631,17.39,17.27
AUS,SOX,MOB_OTHER,TONNE,3,30.179,25.903,25.369,22.121,19.1,25.016,25.641,24.802,20.411,16.976,18.496,18.191,17.571,18.054,19.277,19.418,18.142,19.297,16.499,17.995,18.112,16.885,14.858,11.326,11.362,12.22,12.927,14.982,16.559,16.889,15.694,17.871
AUS,SOX,STAT_TOT,TONNE,3,1545.972,1535.317,1617.811,1710.934,1735.559,1638.101,1724.915,1781.275,1710.564,1803.458,2312.341,2555.712,2746.366,2745.478,2479.962,2487.348,2450.625,2410.518,2481.08,2565.275,2345.389,2474.67,2487.052,2386.44,2471.08,2355.469,2435.67,2256.006,2049.175,2163.391,2089.198,2186.514
AUS,SOX,STAT_POW,TONNE,3,391.612,401.587,399.41,407.699,409.055,426.546,449.697,478.412,482.724,495.424,525.957,561.326,588.482,632.309,613.391,594.163,636.788,613.741,638.29,631.394,610.08,587.026,582.15,554.943,540.101,542.8,529.733,525.305,525.873,513.895,489.569,476.295
AUS,SOX,STAT_COMB,TONNE,3,129.476,123.471,121.061,118.363,114.977,114.741,108.245,115.937,110.561,114.183,120.896,109.279,112.98,112.525,113.481,117.276,118.03,115.35,123.325,113.684,116.486,113.66,113.465,117.997,111.557,89.323,85.229,83.002,81.683,81.085,80.158,77.821
AUS,SOX,STAT_COMB_IND,TONNE,3,125.049,119.21,117.091,114.492,111.246,111.089,104.796,112.777,107.658,111.302,117.613,106.078,109.948,109.456,110.599,114.356,115.03,112.359,120.314,110.859,113.675,110.864,110.298,114.856,108.288,86.019,82.035,79.711,78.307,78.004,77.363,74.913
AUS,SOX,STAT_COMB_OTHER,TONNE,3,4.427,4.26,3.97,3.87,3.731,3.652,3.449,3.16,2.903,2.881,3.282,3.201,3.033,3.068,2.882,2.921,3,2.991,3.012,2.824,2.812,2.796,3.167,3.142,3.269,3.304,3.195,3.291,3.376,3.081,2.795,2.908
AUS,SOX,STAT_IND_PROC,TONNE,3,1024.884,1010.259,1097.339,1184.873,1211.527,1096.814,1166.973,1186.926,1117.279,1193.851,1665.488,1885.107,2044.903,2000.645,1753.09,1775.909,1695.807,1681.427,1719.464,1820.197,1618.823,1773.984,1791.438,1713.499,1819.422,1723.346,1820.708,1647.699,1441.618,1568.411,1519.472,1632.398
